community_board,boro_name,board_number,neighborhoods,address
01 BRONX,Bronx,01,"Mott Haven, Port Morris, Melrose","3024 Third Avenue
Bronx, NY 10455"
02 BRONX,Bronx,02,"Hunts Point, Longwood, Morrisania","1029 E. 163rd Street, Suite 202,Bronx, NY 10459"
03 BRONX,Bronx,03,"Crotona Park, Claremont Village, Concourse Village, Woodstock, Morrisania","1426 Boston Road,Bronx, NY 10456"
04 BRONX,Bronx,04,"Highbridge, Concourse, Mount Eden, Concourse Village","1650 Selwyn Avenue, #11A,Bronx, NY 10457"
05 BRONX,Bronx,05,"Fordham, University Heights, Morris Heights, Bathgate, Mount Hope","BCC Campus, McCracken Hall, Room 12/13,W. 181st Street at Dr. Martin Luther King, Jr. Blvd.,Bronx, NY 10453"
06 BRONX,Bronx,06,"Belmont, Bathgate, West Farms, East Tremont, Bronx Park South","1932 Arthur Avenue, Rm. 709,Bronx, NY 10457"
07 BRONX,Bronx,07,"Norwood, University Heights, Jerome Park, Bedford Park, Fordham, Kingsbridge Heights","229-A East 204th Street,Bronx, NY 10458"
08 BRONX,Bronx,08,"Fieldston, Kingsbridge, Kingsbridge Heights, Marble Hill, Riverdale, Spuyten Duyvil, Van Cortlandt Village","5676 Riverdale Avenue,Bronx, NY 10471"
09 BRONX,Bronx,09,"Parkchester, Unionport, Soundview, Castle Hill, Bruckner, Harding Park, Bronx River and Clason Point","1967 Turnbull Avenue, Rm. 7,Bronx, NY 10473"
10 BRONX,Bronx,10,"Co-op City, City Island, Spencer Estates, Throggs Neck, Country Club, Zerega, Westchester Square, Pelham Bay, Eastchester Bay, Schuylerville, Edgewater, Locust Point, Silver Beach","3165 East Tremont Avenue,Bronx, NY 10461"
11 BRONX,Bronx,11,"Allerton, Bronx Park East, Eastchester Gardens, Indian Village, Morris Park, Olinville, Parkside, Pelham Gardens, Pelham Parkway, Van Nest, Westchester Heights","1741 Colden Avenue,Bronx, NY 10462"
12 BRONX,Bronx,12,"Edenwald, Wakefield, Williamsbridge, Woodlawn, Fish Bay, Eastchester, Olinville, Baychester","4101 White Plains Road,Bronx, NY 10466"
27 BRONX,Bronx,27,Bronx Park,
28 BRONX,Bronx,28,Pelham Bay Park,
26 BRONX,Bronx,26,Van Cortlandt Park,
01 BROOKLYN,Brooklyn,01,"Flushing Avenue, Williamsburg, Greenpoint, Northside, Southside","435 Graham Avenue,Brooklyn, NY 11211"
02 BROOKLYN,Brooklyn,02,"Brooklyn Heights, Fulton Mall, Boerum Hill, Fort Greene, Brooklyn Navy Yard, Fulton Ferry, Clinton Hill","350 Jay Street, 8th Floor,Brooklyn, NY 11201"
03 BROOKLYN,Brooklyn,03,"Bedford-Stuyvesant, Stuyvesant Heights, Ocean Hill","1360 Fulton Street,Brooklyn, NY 11216"
04 BROOKLYN,Brooklyn,04,Bushwick,"1420 Bushwick Avenue, Suite 370,Brooklyn, NY 11207-1422"
05 BROOKLYN,Brooklyn,05,"East New York, Cypress Hills, Highland Park, New Lots, City Line, Starrett City, Ridgewood","127 Pennsylvania Avenue,Brooklyn, NY 11207"
06 BROOKLYN,Brooklyn,06,"Red Hook, Carroll Gardens, Park Slope, Gowanus, Cobble Hill","250 Baltic Street,Brooklyn, NY 11201"
07 BROOKLYN,Brooklyn,07,Sunset Park and Windsor Terrace,"4201 4th Avenue,Brooklyn, NY 11232"
08 BROOKLYN,Brooklyn,08,"Crown Heights, Prospect Heights, Weeksville","1291 St. Marks Avenue,Brooklyn, NY 11213"
09 BROOKLYN,Brooklyn,09,"Crown Heights, Prospect Lefferts Gardens, Wingate","890 Nostrand Avenue,Brooklyn, NY 11225"
10 BROOKLYN,Brooklyn,10,"Bay Ridge, Dyker Heights, Fort Hamilton","8119 5th Avenue,Brooklyn, New York 11209"
11 BROOKLYN,Brooklyn,11,"Bath Beach, Gravesend, Mapleton, Bensonhurst","2214 Bath Avenue,Brooklyn, NY 11214"
12 BROOKLYN,Brooklyn,12,"Boro Park, Kensington, Ocean Parkway, Midwood","5910 13th Avenue,Brooklyn, NY 11219"
13 BROOKLYN,Brooklyn,13,"Coney Island, Brighton Beach, Bensonhurst, Gravesend, Seagate","1201 Surf Avenue, 3rd Floor,Brooklyn, NY 11224"
14 BROOKLYN,Brooklyn,14,"Flatbush, Midwood, Kensington, Ocean Parkway","810 East 16th Street,Brooklyn, NY 11230-3010"
15 BROOKLYN,Brooklyn,15,"Sheepshead Bay, Manhattan Beach, Kings Bay, Gerritsen Beach, Kings Highway, East Gravesend, Madison, Homecrest, Plum Beach","2001 Oriental Boulevard, C Cluster,Room C124,Brooklyn, NY 11235"
16 BROOKLYN,Brooklyn,16,Brownsville and Ocean Hill,"444 Thomas Boyland Street, Rm. 103,Brooklyn, NY 11212"
