GEO_ID,NAME
Geography,Geographic Area Name
5001600US0101,"Congressional District 1 (116th Congress), Alabama"
5001600US0102,"Congressional District 2 (116th Congress), Alabama"
5001600US0103,"Congressional District 3 (116th Congress), Alabama"
5001600US0104,"Congressional District 4 (116th Congress), Alabama"
5001600US0105,"Congressional District 5 (116th Congress), Alabama"
5001600US0106,"Congressional District 6 (116th Congress), Alabama"
5001600US0107,"Congressional District 7 (116th Congress), Alabama"
5001600US0200,"Congressional District (at Large) (116th Congress), Alaska"
5001600US0401,"Congressional District 1 (116th Congress), Arizona"
5001600US0402,"Congressional District 2 (116th Congress), Arizona"
5001600US0403,"Congressional District 3 (116th Congress), Arizona"
5001600US0404,"Congressional District 4 (116th Congress), Arizona"
5001600US0405,"Congressional District 5 (116th Congress), Arizona"
5001600US0406,"Congressional District 6 (116th Congress), Arizona"
5001600US0407,"Congressional District 7 (116th Congress), Arizona"
5001600US0408,"Congressional District 8 (116th Congress), Arizona"
5001600US0409,"Congressional District 9 (116th Congress), Arizona"
5001600US0501,"Congressional District 1 (116th Congress), Arkansas"
5001600US0502,"Congressional District 2 (116th Congress), Arkansas"
5001600US0503,"Congressional District 3 (116th Congress), Arkansas"
5001600US0504,"Congressional District 4 (116th Congress), Arkansas"
5001600US0601,"Congressional District 1 (116th Congress), California"
5001600US0602,"Congressional District 2 (116th Congress), California"
5001600US0603,"Congressional District 3 (116th Congress), California"
5001600US0604,"Congressional District 4 (116th Congress), California"
5001600US0605,"Congressional District 5 (116th Congress), California"
5001600US0606,"Congressional District 6 (116th Congress), California"
5001600US0607,"Congressional District 7 (116th Congress), California"
5001600US0608,"Congressional District 8 (116th Congress), California"
5001600US0609,"Congressional District 9 (116th Congress), California"
5001600US0610,"Congressional District 10 (116th Congress), California"
5001600US0611,"Congressional District 11 (116th Congress), California"
5001600US0612,"Congressional District 12 (116th Congress), California"
5001600US0613,"Congressional District 13 (116th Congress), California"
5001600US0614,"Congressional District 14 (116th Congress), California"
5001600US0615,"Congressional District 15 (116th Congress), California"
5001600US0616,"Congressional District 16 (116th Congress), California"
5001600US0617,"Congressional District 17 (116th Congress), California"
5001600US0618,"Congressional District 18 (116th Congress), California"
5001600US0619,"Congressional District 19 (116th Congress), California"
5001600US0620,"Congressional District 20 (116th Congress), California"
5001600US0621,"Congressional District 21 (116th Congress), California"
5001600US0622,"Congressional District 22 (116th Congress), California"
5001600US0623,"Congressional District 23 (116th Congress), California"
5001600US0624,"Congressional District 24 (116th Congress), California"
5001600US0625,"Congressional District 25 (116th Congress), California"
5001600US0626,"Congressional District 26 (116th Congress), California"
5001600US0627,"Congressional District 27 (116th Congress), California"
5001600US0628,"Congressional District 28 (116th Congress), California"
5001600US0629,"Congressional District 29 (116th Congress), California"
5001600US0630,"Congressional District 30 (116th Congress), California"
5001600US0631,"Congressional District 31 (116th Congress), California"
5001600US0632,"Congressional District 32 (116th Congress), California"
5001600US0633,"Congressional District 33 (116th Congress), California"
5001600US0634,"Congressional District 34 (116th Congress), California"
5001600US0635,"Congressional District 35 (116th Congress), California"
5001600US0636,"Congressional District 36 (116th Congress), California"
5001600US0637,"Congressional District 37 (116th Congress), California"
5001600US0638,"Congressional District 38 (116th Congress), California"
5001600US0639,"Congressional District 39 (116th Congress), California"
5001600US0640,"Congressional District 40 (116th Congress), California"
5001600US0641,"Congressional District 41 (116th Congress), California"
5001600US0642,"Congressional District 42 (116th Congress), California"
5001600US0643,"Congressional District 43 (116th Congress), California"
5001600US0644,"Congressional District 44 (116th Congress), California"
5001600US0645,"Congressional District 45 (116th Congress), California"
5001600US0646,"Congressional District 46 (116th Congress), California"
5001600US0647,"Congressional District 47 (116th Congress), California"
5001600US0648,"Congressional District 48 (116th Congress), California"
5001600US0649,"Congressional District 49 (116th Congress), California"
5001600US0650,"Congressional District 50 (116th Congress), California"
5001600US0651,"Congressional District 51 (116th Congress), California"
5001600US0652,"Congressional District 52 (116th Congress), California"
5001600US0653,"Congressional District 53 (116th Congress), California"
5001600US0801,"Congressional District 1 (116th Congress), Colorado"
5001600US0802,"Congressional District 2 (116th Congress), Colorado"
5001600US0803,"Congressional District 3 (116th Congress), Colorado"
5001600US0804,"Congressional District 4 (116th Congress), Colorado"
5001600US0805,"Congressional District 5 (116th Congress), Colorado"
5001600US0806,"Congressional District 6 (116th Congress), Colorado"
5001600US0807,"Congressional District 7 (116th Congress), Colorado"
5001600US0901,"Congressional District 1 (116th Congress), Connecticut"
5001600US0902,"Congressional District 2 (116th Congress), Connecticut"
5001600US0903,"Congressional District 3 (116th Congress), Connecticut"
5001600US0904,"Congressional District 4 (116th Congress), Connecticut"
5001600US0905,"Congressional District 5 (116th Congress), Connecticut"
5001600US09ZZ,"Congressional Districts not defined (116th Congress), Connecticut"
5001600US1000,"Congressional District (at Large) (116th Congress), Delaware"
5001600US1198,"Delegate District (at Large) (116th Congress), District of Columbia"
5001600US1201,"Congressional District 1 (116th Congress), Florida"
5001600US1202,"Congressional District 2 (116th Congress), Florida"
5001600US1203,"Congressional District 3 (116th Congress), Florida"
5001600US1204,"Congressional District 4 (116th Congress), Florida"
5001600US1205,"Congressional District 5 (116th Congress), Florida"
5001600US1206,"Congressional District 6 (116th Congress), Florida"
5001600US1207,"Congressional District 7 (116th Congress), Florida"
5001600US1208,"Congressional District 8 (116th Congress), Florida"
5001600US1209,"Congressional District 9 (116th Congress), Florida"
5001600US1210,"Congressional District 10 (116th Congress), Florida"
5001600US1211,"Congressional District 11 (116th Congress), Florida"
5001600US1212,"Congressional District 12 (116th Congress), Florida"
5001600US1213,"Congressional District 13 (116th Congress), Florida"
5001600US1214,"Congressional District 14 (116th Congress), Florida"
5001600US1215,"Congressional District 15 (116th Congress), Florida"
5001600US1216,"Congressional District 16 (116th Congress), Florida"
5001600US1217,"Congressional District 17 (116th Congress), Florida"
5001600US1218,"Congressional District 18 (116th Congress), Florida"
5001600US1219,"Congressional District 19 (116th Congress), Florida"
5001600US1220,"Congressional District 20 (116th Congress), Florida"
5001600US1221,"Congressional District 21 (116th Congress), Florida"
5001600US1222,"Congressional District 22 (116th Congress), Florida"
5001600US1223,"Congressional District 23 (116th Congress), Florida"
5001600US1224,"Congressional District 24 (116th Congress), Florida"
5001600US1225,"Congressional District 25 (116th Congress), Florida"
5001600US1226,"Congressional District 26 (116th Congress), Florida"
5001600US1227,"Congressional District 27 (116th Congress), Florida"
5001600US1301,"Congressional District 1 (116th Congress), Georgia"
5001600US1302,"Congressional District 2 (116th Congress), Georgia"
5001600US1303,"Congressional District 3 (116th Congress), Georgia"
5001600US1304,"Congressional District 4 (116th Congress), Georgia"
5001600US1305,"Congressional District 5 (116th Congress), Georgia"
5001600US1306,"Congressional District 6 (116th Congress), Georgia"
5001600US1307,"Congressional District 7 (116th Congress), Georgia"
5001600US1308,"Congressional District 8 (116th Congress), Georgia"
5001600US1309,"Congressional District 9 (116th Congress), Georgia"
5001600US1310,"Congressional District 10 (116th Congress), Georgia"
5001600US1311,"Congressional District 11 (116th Congress), Georgia"
5001600US1312,"Congressional District 12 (116th Congress), Georgia"
5001600US1313,"Congressional District 13 (116th Congress), Georgia"
5001600US1314,"Congressional District 14 (116th Congress), Georgia"
5001600US1501,"Congressional District 1 (116th Congress), Hawaii"
5001600US1502,"Congressional District 2 (116th Congress), Hawaii"
5001600US1601,"Congressional District 1 (116th Congress), Idaho"
5001600US1602,"Congressional District 2 (116th Congress), Idaho"
5001600US1701,"Congressional District 1 (116th Congress), Illinois"
5001600US1702,"Congressional District 2 (116th Congress), Illinois"
5001600US1703,"Congressional District 3 (116th Congress), Illinois"
5001600US1704,"Congressional District 4 (116th Congress), Illinois"
5001600US1705,"Congressional District 5 (116th Congress), Illinois"
5001600US1706,"Congressional District 6 (116th Congress), Illinois"
5001600US1707,"Congressional District 7 (116th Congress), Illinois"
5001600US1708,"Congressional District 8 (116th Congress), Illinois"
5001600US1709,"Congressional District 9 (116th Congress), Illinois"
5001600US1710,"Congressional District 10 (116th Congress), Illinois"
5001600US1711,"Congressional District 11 (116th Congress), Illinois"
5001600US1712,"Congressional District 12 (116th Congress), Illinois"
5001600US1713,"Congressional District 13 (116th Congress), Illinois"
5001600US1714,"Congressional District 14 (116th Congress), Illinois"
5001600US1715,"Congressional District 15 (116th Congress), Illinois"
5001600US1716,"Congressional District 16 (116th Congress), Illinois"
5001600US1717,"Congressional District 17 (116th Congress), Illinois"
5001600US1718,"Congressional District 18 (116th Congress), Illinois"
5001600US17ZZ,"Congressional Districts not defined (116th Congress), Illinois"
5001600US1801,"Congressional District 1 (116th Congress), Indiana"
5001600US1802,"Congressional District 2 (116th Congress), Indiana"
5001600US1803,"Congressional District 3 (116th Congress), Indiana"
5001600US1804,"Congressional District 4 (116th Congress), Indiana"
5001600US1805,"Congressional District 5 (116th Congress), Indiana"
